Ministry,Actuals 2023,Percentage of Total Expenditure 2023,Revised Estimate 2024,Percentage of Total Expenditure 2024,Budget Estimate 2025,Percentage of Total Expenditure 2025
Ministry of Social Justice and Empowerment,"? 9,703.61",0.219%,"? 11,193.67",0.235%,"? 14,886.00",0.294%
Department of Space,"? 10,704.07",0.241%,"? 11,725.75",0.246%,"? 13,416.20",0.265%
Ministry of Corporate Affairs,? 583.60,0.013%,"? 1,078.43",0.023%,"? 11,561.19",0.228%
Ministry of Heavy Industries,"? 4,674.41",0.105%,"? 4,560.69",0.096%,"? 7,680.23",0.152%
"Ministry of Fisheries,Animal Husbandry and Dairying","? 4,487.92",0.101%,"? 5,505.72",0.115%,"? 7,544.07",0.149%
Ministry of Skill Development and Entrepreneurship,"? 2,982.17",0.067%,"? 3,300.83",0.069%,"? 6,100.10",0.120%
Ministry of Development of North Eastern Region,"? 1,627.89",0.037%,"? 4,006.00",0.084%,"? 5,915.00",0.117%
Ministry of Law and Justice,"? 9,228.84",0.208%,"? 7,603.87",0.159%,"? 5,850.37",0.115%
Ministry of Statistics and Programme Implementation,"? 2,467.90",0.056%,"? 5,333.89",0.112%,"? 5,471.06",0.108%
Ministry of Textiles,"? 3,015.24",0.068%,"? 3,342.00",0.070%,"? 5,272.00",0.104%
Ministry of Food Processing Industries,"? 2,262.68",0.051%,"? 2,796.79",0.059%,"? 4,364.22",0.086%
Ministry of Information and Broadcasting,"? 4,310.60",0.097%,"? 4,626.71",0.097%,"? 4,358.38",0.086%
Ministry of AYUSH,"? 2,671.74",0.060%,"? 3,497.64",0.073%,"? 3,992.90",0.079%
Ministry of Youth Affairs and Sports,"? 2,982.60",0.067%,"? 3,232.85",0.068%,"? 3,794.30",0.075%
Ministry of Earth Sciences,"? 2,394.56",0.054%,"? 3,632.78",0.076%,"? 3,649.81",0.072%
"Ministry of Ports, Shipping and Waterways","? 2,230.63",0.050%,"? 2,858.54",0.060%,"? 3,470.58",0.069%
"Ministry of Environment, Forests and Climate Change","? 3,113.61",0.070%,"? 3,125.96",0.066%,"? 3,412.82",0.067%
Ministry of Steel,? 51.87,0.001%,"? 8,561.00",0.180%,"? 3,362.00",0.066%
Ministry of Culture,"? 3,385.22",0.076%,"? 3,260.93",0.068%,"? 3,360.96",0.066%
Ministry of Minority Affairs,? 154.17,0.003%,"? 1,868.18",0.039%,"? 3,350.00",0.066%
Ministry of Mines ,"? 2,816.16",0.063%,"? 3,133.00",0.066%,"? 3,038.00",0.060%
"Ministry of Personnel, Public Grievances and Pensions","? 2,397.15",0.054%,"? 2,627.46",0.055%,"? 2,708.53",0.053%
Ministry of Tourism,? 801.82,0.018%,? 850.36,0.018%,"? 2,541.06",0.050%
Ministry of Civil Aviation,"? 2,757.14",0.062%,"? 2,658.68",0.056%,"? 2,400.31",0.047%
"Ministry of The President, Parliament, Union Public Service Commission and the Secretariat of the Vice President","? 1,636.01",0.037%,"? 1,712.85",0.036%,"? 1,906.90",0.038%
Ministry of Cooperation,? 688.88,0.016%,? 749.78,0.016%,"? 1,186.29",0.023%
Ministry of Panchayati Raj,? 980.49,0.022%,? 880.00,0.018%,"? 1,185.00",0.023%
Ministry of Planning,? 287.90,0.006%,"? 1,001.02",0.021%,"? 1,006.06",0.020%
Ministry of Coal,? 178.18,0.004%,? 141.21,0.003%,? 501.20,0.010%
Ministry of Parliamentary Affairs,? 58.70,0.001%,? 64.76,0.001%,? 66.56,0.001%
